Unnamed: 0,CoinName,Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply
XST,StealthCoin,X13,PoW/PoS,33093725.4123502,0
ZCC,ZCC Coin,Scrypt,PoW/PoS,147990237.978331,1000000000
BCN,ByteCoin,CryptoNight,PoW,184066828814.0,184467440735
XDN,DigitalNote ,CryptoNight,PoW,6906587610.38292,10000000000
BURST,BurstCoin,Shabal256,PoC,1813033920.0,2158812800
SJCX,StorjCoin,Counterparty,PoS,51173144.0,500000000
MONA,MonaCoin,Scrypt,PoW,68194674.8711679,105120000
NTRN,Neutron,SHA-256,PoW/PoS,39121694.0,68000000
FAIR,FairCoin,Groestl,PoW/PoS,53193831.0,0
NLG,Gulden,Scrypt,PoW,415032420.0,1680000000
RBY,RubyCoin,Scrypt,PoS,27184490.3918338,0
PTC,PesetaCoin,Scrypt,PoW,137517654.41397,166386000
KORE,Kore,X13,PoW/PoS,2022464.886973,12000000
WBB,Wild Beast Coin,Scrypt,PoW,181919.2435974,2628000
NOTE,Dnotes,Scrypt,PoS,174646113.934655,500000000
FLO,Flo,Scrypt,PoW,152270664.860648,160000000
8BIT,8BIT Coin,Scrypt,PoW/PoS,1467841.0,0
STV,Sativa Coin,X13,PoW/PoS,7096834.0,10000000
ABY,ArtByte,Scrypt,PoW,792537250.0,1000000000
FLDC,Folding Coin,Stanford Folding,PoW,719416990.0,1000000000
U,Ucoin,X11,PoS,2689812.0,20000000
UIS,Unitus,Multiple,PoW,65113302.0,0
CYP,CypherPunkCoin,QuBit,PoW,6365285.0,0
OMC,OmniCron,Scrypt,PoW,10140044.4430293,3371337
VTR,Vtorrent,Scrypt,PoW/PoS,11604722.0,20000000
GRE,GreenCoin,Scrypt,PoW,4610340640.89,10000000000
XCN,Cryptonite,M7 POW,PoW,708506520.0,1840000000
MSC,MasterCoin,Scrypt,PoW,619478.0,619478
SOON,SoonCoin,SHA-256,PoW,12462620.0,21000000
1CR,1Credit,Scrypt,PoW,88213.0,92000000000
ISL,IslaCoin,X11,PoW/PoS,1513704.0,0
NXS,Nexus,SHA3,PoW/nPoS,63657220.0,78000000
MARS,MarsCoin ,X11,PoW,32221574.820996,33000000
CTO,Crypto,Lyra2RE,PoW,13742738.0,65789100
ACP,Anarchists Prime,SHA-256,PoW,14747200.0002,53760000
DRZ,Droidz,QUAIT,PoW/PoS,8568038.35935056,5060000
BSC,BowsCoin,X11,PoW,15863837.5,21000000
SQL,Squall Coin,X11,PoS/PoW,329200.01639,0
SONG,Song Coin,Scrypt,PoW,32565300.0,210240000
ZNY,BitZeny,Scrypt,PoW,75614500.0,250000000
DIGS,Diggits,Scrypt,PoS,100000000.0,100000000
EXP,Expanse,Ethash,PoW,10495278.0,16906397
CON,Paycon,X13,PoW/PoS,23042604.0,50000000
SC,Siacoin,Blake2b,PoW,33098296530.0,0
EMC,Emercoin,SHA-256,PoW/PoS,43059794.804778,1000000000
EGC,EverGreenCoin,X15,PoW/PoS,13530556.4180753,26298000
MND,MindCoin,X11,PoW,15867695.0,16000000
I0C,I0coin,SHA-256,PoW,20997476.8650231,21000000
DCR,Decred,BLAKE256,PoW/PoS,10365046.9281661,21000000
RVR,Revolution VR,Scrypt,PoW,210000000.0,210000000
HODL,HOdlcoin,1GB AES Pattern Search,PoW,11448949.0,81962100
EDRC,EDRCoin,SHA-256,PoW/PoS,3669691.84494672,22000000
HTC,Hitcoin,X11,PoW/PoS,10996318099.0,26550000000
GAME,Gamecredits,Scrypt,PoW,69836100.0,84000000
DBIC,DubaiCoin,SHA-256,PoW/PoS,5129014.0,10500000
DIEM,CarpeDiemCoin,SHA-256,PoW,21739971929.0,21626280000 
PWR,PWR Coin,NIST5,PoW/PoS,10069449031.9252,0
BLRY,BillaryCoin,Scrypt,PoW/PoS,8998743.2411911,42000000
GPU,GPU Coin,Scrypt,PoS,40477042.0,221052632
ADZ,Adzcoin,X11,PoW,45110324.0,84000000
SOIL,SoilCoin,Dagger,PoW,5702048.0,30000000
YOC,YoCoin,Scrypt,PoW,636462.55983338,168351300
SIB,SibCoin,X11GOST,PoW,17263355.0,24000000
ERC,EuropeCoin,X11,PoW/PoS,10407269.7881868,384000000
ZEIT,ZeitCoin,Scrypt,PoS,36971236046.8073, 99000000000
SWING,SwingCoin,SHA-256,PoW/PoS,4377081.60953993,40000000
SAFEX,SafeExchangeCoin,Scrypt,PoC,2147483647.0,2147483647
NEBU,Nebuchadnezzar,PoS,PoS,20000000.0,20000000
FRN,Francs,Scrypt,PoW,6570807.65677618,20000000
BOLI,BolivarCoin,X11,PoW,13654082.4987998,25000000
XRA,Ratecoin,X11,PoW/PoS,134554941.15119,75000000
REV,Revenu,SHA-256,PoW/PoS,1195525.0,222725000
CKC,Clockcoin,SHA-256,PoW/PoS,16662820.0,525000000
VIP,VIP Tokens,NIST5,PoW/PoS,83450403.0,90000000
BSD,BitSend,X11,PoW/PoS,24387724.5010828,139000000
OMNI,Omni,Scrypt,PoW,616448.0,616448
LIR,Let it Ride,POS 3.0,PoS,38589808.6658096,33500000
PUT,PutinCoin,Scrypt,PoW/PoS,813092338.575672,2000000000
IBANK,iBankCoin,Scrypt,PoW/PoS,4526324.0,44333333
FRWC,Frankywillcoin,Scrypt,PoW/PoS,100000000.0,100000000
MUDRA,MudraCoin,X13,PoS,5000000.0,200000000
PIZZA,PizzaCoin,X11,PoW,1377917.0,25000000
LC,Lutetium Coin,X11,PoS,657000000.0,657000000
KMD,Komodo,Equihash,dPoW/PoW,115898131.0,200000000
GB,GoldBlocks,X11,PoW/PoS,15563873.0,50000000
CTC,CarterCoin,Scrypt,PoW/PoS,43165500.0,90000000
KRB,Karbo,CryptoNight,PoW,7822432.72439746,10000000
BXT,BitTokens,SHA-256,PoW/PoS,595429.0,21000000
ZYD,ZayedCoin,SHA-256,PoW,6243840.0,9736000
MST,MustangCoin,X11,PoW/PoS,657636.34549789,3000000
ZNE,ZoneCoin,Scrypt,PoW/PoS,2581970.0,21000000
COVAL,Circuits of Value,Multiple,PoW,1000000000.0,1200000000
ROOT,RootCoin,Scrypt,PoW/PoS,1939889.0,0
DOPE,DopeCoin,Scrypt,PoW,116845228.0,200000000
BTCR,BitCurrency,Scrypt,PoS,169598616.0,0
DLC,DollarCoin,SHA-256,PoW,9106714.0,10638298
SCN,Swiscoin,Scrypt,PoW/PoW,665200057.0,3100000000
SH,Shilling,Scrypt,PoW,11119200.0,30000000
BUZZ,BuzzCoin,SHA-256D,PoW/PoS,19577787259.0,20000000000
XPO,Opair,PoS,PoS,74033806.7949683,74000000
PSB,PesoBit,Scrypt,PoW/PoS,33522957.0,0
HALLO,Halloween Coin,X11,PoW/PoS,264678458.288619,1500000000
XZC,ZCoin,Lyra2Z,PoW,7568281.24956067,21400000
CFC,CoffeeCoin,PoS,PoS,148716816.0,39999898
ROYAL,RoyalCoin,X13,PoS,2500124.0,2500124
GNJ,GanjaCoin V2,X14,PoW/PoS,100000000.0,100000000
TEAM,TeamUP,PoS,PoS,17818682.1654,301000000
LANA,LanaCoin,SHA-256D,PoW/PoS,1082162635.53683,7506000000
ELE,Elementrem,Ethash,PoW,26205539.0,26205539
ZCL,ZClassic,Equihash,PoW,5613550.0,21000000
ARK,ARK,DPoS,DPoS,108202084.0,125000000
INSANE,InsaneCoin,X11,PoW/PoS,18342813.0,30000000
KLC,KiloCoin,Scrypt,PoW,196297971.0,10000000000
ATX,ArtexCoin,X11,PoW,824000000.0,500000000
EMB,EmberCoin,X13,PoW/PoS,92192822723.0,850000000
XEN,XenixCoin,X11,PoW/PoS,3853326.77707314,3853326.77707314
FRE,FreeCoin,PoS,PoS,50000000.0,50000000
PLNC,PLNCoin,Scrypt,PoW/PoS,17089600.0,38540000 
ARCO,AquariusCoin,Scrypt,PoW/PoS,2449577.41533168,42000000
KURT,Kurrent,X11,PoW,61364813.0,228000000
XCRE,Creatio,PoS,PoS,20000000.0,20000000
ENT,Eternity,X11,PoW/PoS,6069482.07721352,60000000
EUC,Eurocoin,SHA-256,PoW/PoS,12416554.0,20000000
BCF,BitcoinFast,Scrypt,PoW/PoS,20244023.640728,33000000
XSN,Stakenet,X11,TPoS,75590369.0,76500000
BCCOIN,BitConnect Coin,Scrypt,PoW/PoS,11080722.3769581,28000000
MONEY,MoneyCoin,Scrypt,PoW/PoS,10914418.0,650659833
XNG,Enigma,X11,PoW/PoS,814671.0,5000000
XCI,Cannabis Industry Coin,CryptoNight,PoW,978145.0,21000000
RC,Russiacoin,Scrypt,PoW/PoS,8377873.0,144000000
PND,PandaCoin,Scrypt,PoS,33813143821.8337,32514916898
UNITS,GameUnits,Scrypt,PoW/PoS,3472983.0,13000000
GAKH,GAKHcoin,Scrypt,PoW/PoS,3315789.0,3315789
ASAFE2,Allsafe,Quark,PoS,10517772.7391666,15000000
LTCR,LiteCreed,QuBit,PoW/PoS,30227750.0,78835200
OS76,OsmiumCoin,Scrypt,PoW,894026.0,2714286
BIC,Bikercoins,CryptoNight,PoW,9357088.0,25000000
HXX,HexxCoin,Lyra2RE,PoW,1876146.443596,9999999
KED,Klingon Empire Darsek,Scrypt,PoW/PoS,23965372.0,500000000
IOP,Internet of People,SHA-256,PoW/PoS,2526078.47525448,21000000
KUSH,KushCoin,X11,PoW/PoS,5659096.95728771,9354000
PRX,Printerium,Scrypt,PoW/PoS,11821728.0,20000000
PAC,PacCoin,X11,PoW,536982074.0,100000000000
IMPCH,Impeach,Scrypt,PoW/PoS,308179.0,21933333
CTL,Citadel,CryptoNight-V7,PoW,10969318.522954,185000000
ZBC,Zilbercoin,Scrypt,PoS,2922613.96424908,55000000
FRST,FirstCoin,Scrypt,PoW/PoS ,110000000.0,110000000
BVC,BeaverCoin,Scrypt,PoW,3115258.0,3360000
FIND,FindCoin,X13,PoS,14524851.4827,14524851.4827
VLTC,VaultCoin,X11,PoW,30385540.0,1000000000
ZER,Zero,Equihash,PoW,6921653.89980891,17000000
CHAT,OpenChat,Scrypt,PoW/PoS,1000000000.0,1000000000
CDN,Canada eCoin,Scrypt,PoW,99843408.3158479,100000000 
ZOI,Zoin,Lyra2RE,PoW,18545757.5,21000000
RNS,RenosCoin,Scrypt,PoS,36050365.0,34426423
DBIX,DubaiCoin,Dagger-Hashimoto,PoW,2232901.0,2232901
XVP,VirtacoinPlus,X11,PoW/PoS,13162749.0858027,100000000
TAJ,TajCoin,Blake2S,PoW/PoS,12184195.9258495,36900000
IMX,Impact,X11,PoW/PoS,110630387.850471,110000000
EB3,EB3coin,Scrypt,PoW,64096052.0,4000000000
ATMOS,Atmos,PoS,PoS,111135836.889,110290030
HPC,HappyCoin,X11,PoW/PoS,21521322.0099142,100000000
CXT,Coinonat,NIST5,PoW,10123200.0,48252000
MCRN,MacronCoin,PoS,PoS,401421401.0,400000000
RAIN,Condensate,X11,PoW/PoS,121665451.643876,500000000
IMS,Independent Money System,Scrypt,PoW/PoS,5368934.0,21212121
ARGUS,ArgusCoin,Scrypt,PoW/PoS,1148324.0,28600000
LMC,LomoCoin,Scrypt,PoW/PoS,500000.0,1000000000
PROC,ProCurrency,SHA-256,PoS,100545745.0,75000000000
XGR,GoldReserve,X11,PoW/PoS,17171382.0,40000000
BENJI,BenjiRolls,Scrypt,PoW,20276099.146524,35520400
GRW,GrowthCoin,Scrypt,PoS,295135466.361878,2000000000
ILC,ILCoin,SHA-256,PoW,1317747500.0,2500000000
PHR,Phreak,PoS,PoS,11390225.9742772,30000000
DEA,Degas Coin,Scrypt,PoW/PoS,21358764.0,105000000
HTML5,HTML5 Coin,X15,PoW/PoS,40659020000.0,90000000000
USC,Ultimate Secure Cash,SHA-256,PoS,10343113.0,200084200
EQT,EquiTrader,Scrypt,PoW,13673406.4325268,72000000
QTUM,QTUM,POS 3.0,PoS,100000000.0,100000000
QRL,Quantum Resistant Ledger,CryptoNight-V7,PoW,69036016.8340164,105000000
ESP,Espers,536,PoW/PoS,22801882871.0,50000000000
DYN,Dynamic,Argon2d,PoW,19784224.6512734,0
NANO,Nano,Blake2b,PoW,133248297.0,340282367
CHAN,ChanCoin,Cloverhash,PoW,18407259.0885883,30000000
DCY,Dinastycoin,CryptoNight,PoW,1809467143.0,2000000000
DNR,Denarius,NIST5,PoW/PoS,4171382.0,10000000
DP,DigitalPrice,X11,PoW,35138975.0,100000000
VUC,Virta Unique Coin,NIST5,PoW/PoS,62942075.0,120000000
BTPL,Bitcoin Planet,Skein,PoW/PoS,6804362.0,100000000
UNIFY,Unify,Scrypt,PoW,18133195.0,19276800
BRIT,BritCoin,X13,PoW/PoS,21268092.0,30000000
SOCC,SocialCoin,Scrypt,PoW,5167775.0, 75000000
ARC,ArcticCoin,X11,PoW,26042364.3735553,60000000
DAS,DAS,X11,PoW,2622886.0,18900000
LINDA,Linda,Scrypt,PoW/PoS,9044930943.24243,50000000000
XLC,LeviarCoin,CryptoNight,PoW,14161803.0,54000000
ONION,DeepOnion,X13,PoW/PoS,21917018.0492836,18898187.6216583
BTX,Bitcore,Time Travel,PoW,17801865.1605478,21000000
GCN,gCn Coin,Scrypt,PoW,163055097500.0,200000000000
SMART,SmartCash,Keccak,PoW,2241009149.22257,5000000000
SIGT,Signatum,SkunkHash v2 Raptor,PoS,107972766.0,137500000
ONX,Onix,X11,PoW,122475638.389743,1100000000
CRM,Cream,Skein,PoW/PoS,47331802.4774238,100000000
BCH,Bitcoin Cash,SHA-256,PoW,17995589.6469082,21000000
XMCC,Monoeci,X11,PoW/PoS,12569262.5359307,9507271
DFT,Draftcoin,Scrypt,PoS,18663297.3489799,17405891.19707116
VET,Vechain,VeChainThor Authority,Proof of Authority,55454734800.0,86712634466
SOJ,Sojourn Coin,Scrypt,PoW,485214.0,10500000000
STCN,Stakecoin,PoS,PoS,4000000.0,61599965
NYC,NewYorkCoin,Scrypt,PoW,143006669741.687,0
FRAZ,FrazCoin,Scrypt,PoW,9704042.0,20000000
KRONE,Kronecoin,Scrypt,PoW,17453749.4042601,84000000
ACC,AdCoin,Scrypt,PoW,32646731.063036,100000000
LINX,Linx,Scrypt,PoW,33716526.0,100000000
XCXT,CoinonatX,Scrypt,PoW/PoS,19539588.0,48252000
ETHD,Ethereum Dark,Scrypt,PoW/PoS,4200000.0,4200000
SUMO,Sumokoin,CryptoNight,PoW,8946653.0,88888888
ODN,Obsidian,SHA-512,PoS,25000000.0,91388946
ADA,Cardano,Ouroboros,PoS,25927070538.0,45000000000
REC,Regalcoin,X11,PoW/PoS,7262402.04264803,27000000
BTCZ,BitcoinZ,Equihash,PoW,5211553258.01514,21000000000
TZC,TrezarCoin,NeoScrypt,PoW/PoS,182638400.0,400000000
ELM,Elements,X11,PoW,2702855668.85288,1800000000
TER,TerraNovaCoin,Scrypt,PoW/PoS,1140734.91680375,15733333
VIVO,VIVO Coin,NeoScrypt,PoW,4165967.57499639,27000000
RUP,Rupee,Lyra2REv2,PoS,24000000.0,24000000
BTG,Bitcoin Gold,Equihash,PoW,17202361.088994,21000000
WOMEN,WomenCoin,Scrypt,PoW/PoS,48459472454.0,25000000000
MAY,Theresa May Coin,SHA-256,PoW/PoS,92050800.0,100000000
NAMO,NamoCoin,NIST5,PoW/PoS,560563220.0,1200000000
LUX,LUXCoin,PHI1612,PoW/PoS,8305775.31777569,60000000
PIRL,Pirl,Dagger,PoW,33986980.0,156306732.71
XIOS,Xios,Scrypt,PoW/PoS,2149688.0,21000000
BTDX,Bitcloud 2.0,Quark,PoW/PoS,30711550.5294042,200000000
EBST,eBoost,Scrypt,PoW,99990001.493466,100000000
KEK,KekCoin,POS 2.0,PoS,12330806.30517,21000000
BLHC,BlackholeCoin,Scrypt,PoW/PoS,16362544.992,14788275.991
XIN,Infinity Economics,SHA-256,PoS,8999999990.0,9000000000
PURA,Pura,X11,PoW,175215859.0,350000000
INN,Innova,NeoScrypt,PoW,6375259.04,45000000
ELLA,Ellaism,Ethash,PoW,12756367.0,280000000
GBX,GoByte,NeoScrypt,PoW,5832306.875,31800000
MAG,Magnet,X11,PoW/PoS,38198594.8342105,144000000
TAU,Lamden Tau,DPoS,DPoS,288090567.493887,500000000
ECA,Electra,NIST5,PoW/PoS,28399150208.0,30000000000
BCD,Bitcoin Diamond,X13,PoW/PoS,183534024.889807,210000000
XSH,SHIELD,Multiple,PoW,481730566.566176,660000000
CNBC,Cash & Back Coin,Scrypt,PoW/PoS,110976977.29338,210000000
XUN,UltraNote,CryptoNight,PoW,19281821413.4924,85000000000
COAL,BitCoal,CryptoNight,PoW,4500000.0,12500000
DAXX,DaxxCoin,Ethash,PoW,520891780.0,10000000000
BWK,Bulwark,NIST5,PoS,13247178.8807286,27716121
KLKS,Kalkulus,Quark,PoS,16955764.902064,20000000
AC3,AC3,X11,PoW,80316207.0,550000000
LTHN,Lethean,CryptoNight-V7,PoW,441250233.377,999481516
GER,GermanCoin,Scrypt,PoW/PoS,4911500269.41,50000000000
LTCU,LiteCoin Ultra,Scrypt,PoW/PoS,8419402.321,150000000
POP,PopularCoin,Scrypt,PoW,3964201248.87125,4999999999
PNX,PhantomX,X11,PoW/PoS,45174214.1078625,50000000
PHO,Photon,BLAKE256,PoW,30089671530.5228, 90000000000
SUCR,Sucre,X11,PoW,4229040.50393462,19800000
SPK,SparksPay,NeoScrypt,PoW,7847417.33355824,21000000
WAGE,Digiwage,Quark,PoS,27299680.0,120000000
GUN,GunCoin,NeoScrypt,PoW,299797953.0,500000000
IRL,IrishCoin,Scrypt,PoW,45483049.3398182,64000000
TROLL,Trollcoin,Scrypt,PoW/PoS,591022748.0,900000000
LCP,Litecoin Plus,Scrypt,PoW/PoS,2504486.227718,4000000
MONK,Monkey Project,X11,PoS,4407252.0,21000000
PCOIN,Pioneer Coin,X11,PoW,8478104.33969947,23000000
UBTC,UnitedBitcoin,SHA-256,PoW,20166000.0,20166000
ITZ,Interzone,C11,PoW,11916588.09471,23000000
TPAY,TokenPay,POS 3.0,PoS,20445861.5344251,25000000
MCT,1717 Masonic Commemorative Token,Ethash,PoS,1618033.0,1618033
MBC,My Big Coin,Scrypt,PoW and PoS,9399342.52839847,30000000
TRTL,TurtleCoin,CryptoNight,PoW,53139835213.77,1000000000000
MUN,MUNcoin,SkunkHash,PoW,4818338.98949984,16600000
USX,Unified Society USDEX,Scrypt,PoW/PoS,234846265.782157,232000000
NBR,Niobio Cash,CryptoNight,PoW,133932467.774108,336000000
SSS,ShareChain,Scrypt,PoW,10000000000.0,10000000000
TRF,Travelflex,Dagger,PoW,107325266.027783,100000000
KREDS,KREDS,Lyra2REv2,PoW,643795911.540095,1100000000
TOKC,Tokyo Coin,X13,PoS,230298925.0,800000000
BBP,BiblePay,Proof-of-BibleHash,POBh,1772091549.88818,5200000000
LCC,LitecoinCash,SHA-256 + Hive,PoW + Hive,638382332.208514,840000000
FLIP,BitFlip,Scrypt,PoW,12446100.00278,40000000
LOT,LottoCoin,Scrypt,PoW,14491014421.0,18406979840
CIF,Crypto Improvement Fund,X11,PoW,211297638.500483,500000000
SPD,Stipend,C11,PoW/PoS,11251342.1879021,19340594
POA,Poa Network,Proof-of-Authority,PoA,204479039.0,252460800
PUSHI,Pushi,X11,PoW/PoS,2167827.1,25000000
ELP,Ellerium,XEVAN,PoW/PoS,419275.38,60000000
VLX,Velox,Scrypt,PoS,25570013.1348022,124000000
ONT,Ontology,VBFT,PoS,650848625.0,1000000000
CLO,Callisto Network,Ethash,PoW,247612453.0,6500000000
TUBE,BitTube,CryptoNight,PoW,80049082.9057215,1000000000
PSD,Poseidon,Scrypt,PoW,4070212.1493016,21000000
ADK,Aidos Kuneen,IMesh,PoW,25000000.0,25000000
BSX,Bitspace,NIST5,PoW/PoS,13787854.6277781,50000000
BRIA,Briacoin,Scrypt,PoW/PoS,845637.81347436,3000000
IC,Ignition,Scrypt,PoW/PoS,1182153.5,5000000
BTL,Bitrolium,Equihash,PoW,71355477.0,70000000
MEDIC,MedicCoin,Scrypt,PoS,267297676.3125,500000000
ALPS,Alpenschillling,Lyra2Z,PoW,27340501.6514783,300000000
BITG,Bitcoin Green,Green Protocol,PoS,9803691.3618195,21000000
DEV,Deviant Coin,PoS,PoS,21876586.8530324,88000000
ABJ,Abjcoin,Scrypt,PoW/PoS,9880502.37178894,30000000
SEM,Semux,Semux BFT consensus,DPoS,1231147.0,100000000
FTO,FuturoCoin,X11,PoW,31801461.1867843,100000000
CARE,Carebit,Quark,PoW/PoS,139739596.506702,200000000
NZL,Zealium,PoS,PoS,11075254.0929996,80000000
XMC,Monero Classic,CryptoNight,PoW,16016864.0,18400000
PROTON,Proton,X16R,PoS,4403800.0,45000000
DEAL,iDealCash,Scrypt,PoW/PoS,1404157529.46026,5121951220
JUMP,Jumpcoin,NIST5,PoW,21069346.2522598,21000000
INFX,Infinex,Lyra2RE,PoW,5097689.71077377,26280000
XBI,Bitcoin Incognito,XEVAN,PoS/PoW,10904963.0923455,21000000
KEC,KEYCO,Tribus,PoW,795447.0,18000000
HWC,HollyWoodCoin,Scrypt,PoS,38706809.466535,26000000
GIN,GINcoin,Lyra2Z,PoW,6986399.70430446,10500000
PLTC,PlatinCoin,CryptoNight,PoW,84300.0,600000518
LOKI,Loki,CryptoNight Heavy,PoW,19153632.0,150000000
NCP,Newton Coin,CryptoNight,PoW,41294520017.0,184000000000
SIC,Swisscoin,Scrypt,PoW/PoS,10200000000.0,10200000000
XT3,Xt3ch,Scrypt,PoS,7630000.0154,44000000
MGD,MassGrid,Jump Consistent Hash,PoW,135862416.039898,168000000
